Ball,Commentary,Wicket
0.1,"Sohail Tanvir to Smith, 1 run, full and straight to start from Tanvir, driven up towards mid-off for a run. A bit of movement",
0.2,"Sohail Tanvir to Billings, no run, on a length outside off, in a channel. The ball moves away late and beats the bat. Beautiful lines",
0.3,"Sohail Tanvir to Billings, no run, walks down and drives to mid-on, use of the wrists.",
0.4,"Sohail Tanvir to Billings, no run, some more movement. Back of a length from Tanvir, moves away late. Billings wafts and is beaten",
0.5,"Sohail Tanvir to Billings, 1 run, he was always going to get an edge. This one goes down and trickles towards third man for a run",
0.6,"Sohail Tanvir to Smith, no run, lovely end. Good length outside off, some away movement. Smith opts to let this one go",
1.1,"Mohammad Irfan to Billings, no run, on the pads to start, Billings beaten for pace. Misses a flick and is struck on the pad",
1.2,"Mohammad Irfan to Billings, 1 run, on a length on middle, popped away towards mid-on. Goes uppish. A sign of a slow surface",
1.3,"Mohammad Irfan to Smith, no run, on a length around middle and leg, Smith plays it back. No tim9ng",
1.4,"Mohammad Irfan to Smith, 1 run, yikes, a low full toss on leg, worked away to deep square leg, should have been more than one there",
1.5,"Mohammad Irfan to Billings, 2 runs, runs down, gets a length delivery and works the ball through midwicket for a couple. Nice hands",
1.6,"Mohammad Irfan to Billings, no run, lovely solid defensive stroke to end a tight over",
2.1,"Sohail Tanvir to Smith, no run, good length delivery on and just outside off, beats the bat",
2.2,"Sohail Tanvir to Smith, no run, keeping it on a length around off, pushed up towards mid-off from the crease",
2.3,"Sohail Tanvir to Smith, 2 runs, full delivery on leg and middle, Smith opts for an ugly across-the-line hoick, squirted over backward point for a couple",
2.4,"Sohail Tanvir to Smith, no run, fullish delivery on middle and leg, played away towards mid-off",
2.5,"Sohail Tanvir to Smith, 1 run, on a length on middle and leg, inside-edged into the pad for a run",
2.6,"Sohail Tanvir to Billings, FOUR, nice hands again. Billings gets across, gets something full and straight and just flicks away behind square for four",
3.1,"Mohammad Irfan to Smith, FOUR, poor lines. Strays down leg and Smith helps himself to four past fine leg. Deft touch. Can't bowl there",
3.2,"Mohammad Irfan to Smith, no run, across-the-line mow on a length finds midwicket. No timing",
3.3,"Mohammad Irfan to Smith, FOUR, lucky. Gets in a good yorker on off, Smith drives but gets a thick inside edge which somehow evades the stumps and races away to the fine leg boundary",
3.4,"Mohammad Irfan to Smith, FOUR, a thwack over mid-on. Length on middle, Smith clears one leg and clears mid-on. A T20 stroke",
3.5,"Mohammad Irfan to Smith, 1 run, well played. Length on off and middle, cramped for room, works one to midwicket",
3.6,"Mohammad Irfan to Billings, 1 run, nicely played. Lets the ball come to him and then opens the face to get one to third man",
4.1,"Bilawal Bhatti to Billings, 1 run, length delivery outside off, Billings opens the face and guides one down to third man",
4.2,"Bilawal Bhatti to Smith, no run, good length outside off, but too much width. Smith misses a cut",
4.3,"Bilawal Bhatti to Smith, no run, hit from the crease to cover. Cramped for room",
4.4,"Bilawal Bhatti to Smith, 1 run, fullish delivery around off, pushed up to mid-off. With the fielder on the edge, a single is easy",
4.5,"Bilawal Bhatti to Billings, 4 leg byes, good length outside off, Billings gets right across, looking for a scoop. Misses by a considerable distance and is hit on the helmet. The ball ricochets away for four",
4.6,"Bilawal Bhatti to Billings, no run, shortish and wide from Bhatti, Billings this time fails to connect with a cut",
5.1,"Narine to Smith, FOUR, superb execution. Full from Narine, Smith gets across and executes a fine reverse paddle sweep. Past slip and to the boundary",
5.2,"Narine to Smith, 1 run, flat on middle, worked away to deep midwicket",
5.3,"Narine to Billings, FOUR, that will be four more. Short and wide from Narine, Billings cuts and the ball takes the outside edge, flies past short third man for four.",
5.4,"Narine to Billings, FOUR, four more. Narine getting a thrashing. Billings gets down low and plays a high-percentage stroke, clears backward square leg with a sweep. Nice.",
5.5,"Narine to Billings, 1 run, worked away towards square leg. Fantastic batting",
5.6,"Narine to Smith, no run, this one floats in, swerves in and beats Smith on the inside edge. Hit on the pad",
6.1,"Yasir Shah to Billings, 2 runs, some flight to start, tossed up outside off, carved up to deep cover",
6.2,"Yasir Shah to Billings, FOUR, four more. Billings runs down, gets the ball full, he wanted to go over cover but the ball skews off the outside half and clears backward point for four",
6.3,"Yasir Shah to Billings, 1 run, worked away to deep square leg, a flick of the wrists",
6.4,"Yasir Shah to Smith, 2 runs, pushed down to long-on towards Umar Akmal who lazily and sloppily allows one by fumbling a simple collection. What was he trying to do?",
6.5,"Yasir Shah to Smith, 1 run, short and wide, cut to deep point. Good fielding this time prevents two",
6.6,"Yasir Shah to Billings, 1 run, driven up to long-on",
7.1,"Narine to Billings, 1 run, flat delivery on middle and leg, clipped to deep square leg",
7.2,"Narine to Smith, 1 run, shovelled to deep midwicket from the crease",
7.3,"Narine to Billings, 1 run, flat on middle and off, clipped to deep midwicket",
